distance,260,270,280,290,300
0.0,628.9819975,628.9819975,628.9819975,628.9819975,628.9819975
1.0,625.5307550457242,625.3299622877249,625.1335340688856,624.9410997464696,624.7522892836299
2.0,622.0577859929906,621.6539246182118,621.25872833425,620.8714554488258,620.4913650854746
3.0,618.5627040799845,617.953435606155,617.3570636577604,616.7724749479828,616.19855680522
4.0,615.045111528214,614.2280322637993,613.4280063555025,612.643548213553,611.8731722365555
5.0,611.5045985566944,610.4772368737372,609.4710049016321,608.4840438473366,607.514493836013
6.0,607.9407428695083,606.7005563254878,605.4854890837727,604.2933080236771,603.1217774104931
7.0,604.3531091149381,602.897481413287,601.4708691065774,600.0706633617888,598.6942507169242
8.0,600.7412483142355,599.0674860923044,597.426534639554,595.8154077247111,594.2311119668652
9.0,597.1046972579263,595.2100266902636,593.3518538049058,591.5268129390561,589.7315282281826
10.0,593.4429778673825,591.3245410711829,589.2461721007626,587.2041234291604,585.1946337151572
11.0,589.7555965192034,587.4104477476726,585.1088112547524,582.8465547586565,580.6195184860825
12.0,586.0420433297437,583.4671449379034,580.9390680023988,578.453285008247,576.0052591137164
13.0,582.3017913968981,579.4940095630222,576.7362127843198,574.0234776708892,571.350873225959
14.0,578.5342959960083,575.4903961804073,572.4994817124966,569.5562470188797,566.6553431545645
15.0,574.7389937264822,571.4556358477327,568.2280985247792,565.0506759339444,561.9176075685666
16.0,570.9153016054196,567.3890349123529,563.9212413197083,560.5058093164787,557.1365588068664
17.0,567.0626161042054,563.2898668584284,559.5780600705954,555.9206518474706,552.3110399976073
18.0,563.1803121236745,559.1573954666884,555.1976703630813,551.2941655779863,547.4398419431303
19.0,559.2677419030435,554.9908398493419,550.7791514167961,546.6252673297006,542.5216997467705
20.0,555.3242338573701,550.7893933680433,546.3215439582697,541.9128258880461,537.5552891548466
21.0,551.3490845661639,546.5522171835029,541.8238479311954,537.1556589673979,532.5392225839014
22.0,547.3415818685938,542.2784384281596,537.2850200285834,532.352529925249,527.4720447994405
23.0,543.3009699081174,537.9671482433715,532.7039710295751,527.5021441995281,522.3522282080667
24.0,539.2264682604839,533.6173996686412,528.0795629216798,522.603145440006,517.1781677198777
25.0,535.1172654986036,529.2282053690121,523.4106057869263,517.6541113010638,511.9481751321927
26.0,530.9725174422881,524.7985351852125,518.6958544278123,512.6535488588728,506.66047297894687
27.0,526.7913452789101,520.3273134893499,513.9340047059799,507.599889611181,501.3131877822822
28.0,522.5728335431602,515.8134163269604,509.123689563147,502.49148401228376,495.9043426337518
29.0,518.3160279427689,511.255668323928,504.2634746899308,497.3265954892541,490.43184902190956
30.0,514.0199330155957,506.6528393341954,499.351853803719,492.103393877962,484.8934978105605
31.0,509.68350960182204,502.0036408012129,494.38724349158014,486.81994820860456,479.28694925724335
32.0,505.3056721130982,497.3067218026759,489.36797756822125,481.47421876019183,473.609721944135
33.0,500.8852855783488,492.56066474419333,484.2923008920708,476.0640482913665,467.85918047296144
34.0,496.42116244350524,487.76398066304006,479.15836257449735,470.58715234074634,462.0325217509532
35.0,491.9120590996406,482.9151040979599,473.96420850775405,465.04110847321095,456.12675966554605
36.0,487.3566721107997,478.0123874749877,468.70777312621334,459.4233443286844,450.13870791028364
37.0,482.75363410915674,473.05409495229236,463.3868703025039,453.7311243063115,444.06496068187244
38.0,478.10150932093114,468.0383956589446,457.99918326487847,447.9615346886569,437.9018709168084
39.0,473.3987886816418,462.96335625303965,452.54225340406595,442.1114669766266,431.6455256732118
40.0,468.643884493677,457.8269327135235,447.01346781638017,436.17759916490246,425.29171818662434
